,date,ticker,company_name,person_name,person_category,number_of_securities,transaction_type,shares_before_acq,shares_after_acq,pct_before_acq,pct_after_acq,acq_mode,security_type,xbrl_link
3139,2023-06-16 16:30:00,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,zuari industries limited (formerly zuari global limited),promoters,71200,Pledge,59017307,59017307,14.18,14.18,Pledge Creation,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147171_865796_16062023043014_WEB.xml
3140,2023-06-16 16:21:00,BHARATWIRE,Bharat Wire Ropes Limited,hemant agrawal,employees/designated employees,50000,Buy,6000,56000,0.01,0.08,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147168_865792_16062023042102_WEB.xml
3141,2023-06-16 16:21:00,BHARATWIRE,Bharat Wire Ropes Limited,govinda mangaru soni,key managerial personnel,5000,Buy,4500,9500,0.01,0.01,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147168_865792_16062023042102_WEB.xml
3142,2023-06-16 16:20:00,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,zuari industries limited (formerly zuari global limited),promoters,60100,Pledge,59017307,59017307,14.18,14.18,Pledge Creation,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147166_865790_16062023042039_WEB.xml
3143,2023-06-16 16:00:00,5PAISA,5Paisa Capital Limited,prakarsh gagdani,key managerial personnel,4000,Sell,54040,50040,0.18,0.16,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147162_865779_16062023040041_WEB.xml
3144,2023-06-16 15:59:00,LINCOLN,Lincoln Pharmaceuticals Limited,munjal mahendrabhai patel,promoter group,25500,Buy,2314700,2340200,11.56,11.68,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147161_865776_16062023035933_WEB.xml
3145,2023-06-16 15:59:00,LINCOLN,Lincoln Pharmaceuticals Limited,ashish rajanibhai patel,promoter group,38500,Buy,1543802,1582302,7.71,7.9,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147161_865776_16062023035933_WEB.xml
3146,2023-06-16 15:53:00,KRITINUT,Kriti Nutrients Limited,purnima mehta,promoter group,65204,Buy,303453,368657,0.61,0.74,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147158_865771_16062023035313_WEB.xml
3147,2023-06-16 15:03:00,DGCONTENT,Digicontent Limited,the hindustan times limited,promoters,270000,Buy,38244521,38514521,65.73,66.19,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147155_865709_16062023030336_WEB.xml
3148,2023-06-16 14:54:00,THOMASCOOK,Thomas Cook  (India)  Limited,ramesh ramanathan,other,90000,Sell,1552575,1462575,0.33,0.31,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147153_865700_16062023025439_WEB.xml
3149,2023-06-16 14:35:00,GHCLTEXTIL,Ghcl Textiles Limited,ravi shanker jalan,director,50000,Buy,550000,600000,0.58,0.63,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147150_865679_16062023023532_WEB.xml
3150,2023-06-16 13:12:00,RAMKY,Ramky Infrastructure Limited,mr. satyanarayan rao nimmala,other,15300,Buy,10500,25800,0.01,0.03,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147148_865633_16062023011230_WEB.xml
3151,2023-06-16 13:05:00,TEJASNET,Tejas Networks Limited,sanjay nayak,director,30868,Sell,2895270,2864402,1.71,1.69,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147146_865624_16062023010552_WEB.xml
3152,2023-06-16 12:32:00,ECLERX,eClerx Services Limited,eclerx employee welfare trust,other,43460,Sell,905969,862509,1.85,1.76,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147144_865598_16062023123216_WEB.xml
